area,distance,first_registration,fuel,price,search,title,url,year
"Skibåsen 1, 4636 Kristiansand S",77000,2017-07-24,Diesel,209000,Suzuki S-Cross,Suzuki SX4 S-Cross SX4 S-Cross,https://www.finn.no/car/used/ad.html?finnkode=343003371,2016
"Janaflaten 47, 5179 Godvik",46526,2014-01-02,Bensin,189000,Suzuki S-Cross,"Suzuki SX4 S-Cross 4 1,6 GLX aut. OUTLET | SKINN | DAB | NAVI | R.KAM",https://www.finn.no/car/used/ad.html?finnkode=343002855,2014
"Døvleveien 37, 3170 Sem",178000,2017-06-07,Bensin,179900,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4 TB S-CROSS,https://www.finn.no/car/used/ad.html?finnkode=342919164,2017
"Venusvegen 10B, 7652 Verdal",62000,2019-11-28,Bensin,279900,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4  GLX / SkyTech-pakke/4WD,https://www.finn.no/car/used/ad.html?finnkode=342728420,2019
"Venusvegen 10B, 7652 Verdal",78000,2018-02-01,Bensin,259000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4  GLX / SkyTech / Aut. 4x4 / Hengerf.,https://www.finn.no/car/used/ad.html?finnkode=342726757,2018
"Tungasletta 8, 7047 Trondheim",9971,2022-08-30,El + Bensin,379900,Suzuki S-Cross,Suzuki SX4 S-Cross 4X4 GLX 48V Hybrid | ACC | APPLE CARPLAY | DAB+,https://www.finn.no/car/used/ad.html?finnkode=344050424,2022
"Skogentippen, 3630 Rødberg",52000,2019-07-18,Bensin,279000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 140hk GLX SkyTech aut,https://www.finn.no/car/used/ad.html?finnkode=342869772,2019
"Dronning Åstasgt 18, 3511 Hønefoss",50200,2019-11-20,Bensin,279000,Suzuki S-Cross,"Suzuki SX4 S-Cross 1.4  Turbo 4x4 Aut ,ACC, Panorama, Kamera+++",https://www.finn.no/car/used/ad.html?finnkode=342406708,2019
"Dronning Åstasgt 18, 3511 Hønefoss",63615,2022-01-26,Bensin,345000,Suzuki S-Cross,"Suzuki SX4 S-Cross 1.4  Turbo 4x4 Aut Safetech,360kamera,ACC,Carplay, KROK",https://www.finn.no/car/used/ad.html?finnkode=343127971,2022
"Sjøfartsgata 15, 7714 Steinkjer",49505,2021-03-25,Bensin,319900,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4  T 130HK GLX HYBRID/4x4/AUTOMAT/SAFETECH/RYGGEKAMER,https://www.finn.no/car/used/ad.html?finnkode=343146895,2021
"Råbekksvingen 13, 1617 Fredrikstad",88000,2016-11-29,Bensin,219900,Suzuki S-Cross,Suzuki SX4 S-Cross S-Cross Awd Aut/Pano/Acc/Skinn/Navi/BT/Kamera/Keyless++,https://www.finn.no/car/used/ad.html?finnkode=343180185,2017
"Skotselvveien 2, 3302 Hokksund",74396,2018-12-13,Bensin,269000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4TURBO 140HK 4X4 GLX SKINN/ACC/PANO/KROK/NAVI/R.KAM++,https://www.finn.no/car/used/ad.html?finnkode=343199716,2018
"Hvamsvingen 7, 2013 Skjetten",59200,2020-09-28,El + Bensin,265000,Suzuki S-Cross,"Suzuki SX4 S-Cross SUV Turbo 130hk GLX 48V Hybrid, Ryggekamera",https://www.finn.no/car/used/ad.html?finnkode=343266079,2020
"Skotselvveien 2, 3302 Hokksund",53465,2019-11-20,Bensin,289000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4 140 HK Turbo Glx 4wd Auto/Panorama/Skinn/Defa/Krok,https://www.finn.no/car/used/ad.html?finnkode=343405379,2019
"Amsrudvegen 5, 2827 Hunndalen",77000,2021-05-28,Bensin,299000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 140hk GLX SkyTech ACC/NAVI/RYGGEKAMERA++,https://www.finn.no/car/used/ad.html?finnkode=343690768,2021
"Amsrudvegen 5, 2827 Hunndalen",74000,2021-05-28,Bensin,299000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 140hk GLX SkyTech ACC/NAVI/RYGGEKAMERA++,https://www.finn.no/car/used/ad.html?finnkode=343690825,2021
"Romedalsvegen 6D, 2335 Stange",20600,2016-11-08,Bensin,219900,Suzuki S-Cross,Suzuki SX4 S-Cross 1.6 GLX 120hk  AUT 4X4/KROK/CRUISE/NY SERVICE/SKINN/,https://www.finn.no/car/used/ad.html?finnkode=343302109,2016
"Ærfuglvegen 2, 9015 Tromsø",10000,2022-12-23,Bensin,329000,Suzuki S-Cross,"Suzuki SX4 S-Cross 1,4 hybrid bensin 4x4/ RESERVERT /",https://www.finn.no/car/used/ad.html?finnkode=343292125,2021
"Vangsveien 91, 2317 Hamar",36090,2015-01-05,Bensin,189900,Suzuki S-Cross,"Suzuki SX4 S-Cross 4 1,6 GL+ aut. , med hengerfeste. Lav kilometer.",https://www.finn.no/car/used/ad.html?finnkode=343724803,2015
"Idrettsgata 28, 8370 Leknes",8501,2023-03-08,Bensin,429000,Suzuki S-Cross,Suzuki SX4 S-Cross Hybrid/130hk/4X4/Automat GLX/SafeTech/DEMO,https://www.finn.no/car/used/ad.html?finnkode=343696203,2023
"Stabburveien 7-9, 1617 Fredrikstad",43500,2021-02-22,El + Bensin,299000,Suzuki S-Cross,Suzuki SX4 S-Cross 130 hk/4X4/Hybrid/ SafeTech/Navi/Ryggekamera/LED/DAB,https://www.finn.no/car/used/ad.html?finnkode=343735764,2021
"Dynamittveien 19, 1400 Ski",21717,2022-12-21,El + Bensin,425000,Suzuki S-Cross,Suzuki SX4 S-Cross Hybrid AllGrip Automatgir-HENGERFESTE,https://www.finn.no/car/used/ad.html?finnkode=343752390,2022
"Osloveien 109, 1448 Drøbak",28012,2021-12-29,El + Bensin,359000,Suzuki S-Cross,Suzuki SX4 S-Cross 4x4 GLX Hybrid Safe Tech//360 KAMERA-DELSKINN-NAVI-ACC,https://www.finn.no/car/used/ad.html?finnkode=343813130,2022
"Eidsvågveien 134, 5105 Eidsvåg i Åsane",138683,2013-09-26,Bensin,115000,Suzuki S-Cross,"Suzuki SX4 S-Cross 1.6,120Hk/Lav km/Kamera/DAB/Panorama/Cruise/Ny Service",https://www.finn.no/car/used/ad.html?finnkode=343797963,2014
"Tungasletta 6, 7047 Trondheim",90236,2014-01-07,Bensin,169000,Suzuki S-Cross,"Suzuki SX4 S-Cross 4 1,6 GL+ aut. HFeste|Ryggekam|Soltak|Cruisekontroll",https://www.finn.no/car/used/ad.html?finnkode=343823265,2014
"Liamyrane 5, 5132 Nyborg",78900,2017-06-16,Bensin,199000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 140hk GL+,https://www.finn.no/car/used/ad.html?finnkode=343840422,2017
"Brevikveien 1, 1711 Sarpsborg",28980,2021-09-22,El + Bensin,329000,Suzuki S-Cross,"Suzuki SX4 S-Cross 4x4, Automat, Hybrid, 2sett hjul",https://www.finn.no/car/used/ad.html?finnkode=343960005,2021
"Vestre Rosten 71, 7072 Heimdal",56500,2021-05-25,Bensin,309000,Suzuki S-Cross,Suzuki SX4 S-Cross 4x4 GLX Hybrid 130hk Ledlyds Adaptiv cruise+++,https://www.finn.no/car/used/ad.html?finnkode=343865964,2021
"Vestre Rosten 71, 7072 Heimdal",57000,2021-04-30,Bensin,309900,Suzuki S-Cross,Suzuki SX4 S-Cross Fullhybrid Ledlys Adaptiv Cruise Bakkestartassistent++,https://www.finn.no/car/used/ad.html?finnkode=343833133,2021
"Jærveien 160, 4344 Bryne",147300,2015-09-07,Bensin,179000,Suzuki S-Cross,"Suzuki SX4 S-Cross 1,6 120HK 4X4 AUTOMAT EXCLUSIVE KAMERA/DAB+/TLF/SOLTAK+",https://www.finn.no/car/used/ad.html?finnkode=343880441,2016
"Garnesveien 16, 5260 Indre Arna",60400,2022-04-25,El + Bensin,348900,Suzuki S-Cross,Suzuki SX4 S-Cross SUV 4x4 Hybrid Automat,https://www.finn.no/car/used/ad.html?finnkode=339317124,2022
"Brevikveien 1, 1711 Sarpsborg",62503,2021-02-23,El + Bensin,299000,Suzuki S-Cross,Suzuki SX4 S-Cross Hybrid 4x4 Automat Driftssikker bil!,https://www.finn.no/car/used/ad.html?finnkode=341345534,2021
"Ensjøveien 15B, 0655 Oslo",54000,2021-10-12,Bensin,309000,Suzuki S-Cross,Suzuki SX4 S-Cross SX4 S-Cross,https://www.finn.no/car/used/ad.html?finnkode=339204303,2021
"ØVRE EIKERVEI 77, 3048 Drammen",80357,2021-06-07,Bensin,299000,Suzuki S-Cross,"Suzuki SX4 S-Cross Hybrid, automat",https://www.finn.no/car/used/ad.html?finnkode=339336635,2021
"Saltverket 28, 4515 Mandal",171422,2014-08-18,Bensin,128074,Suzuki S-Cross,Suzuki SX4 S-Cross 1.6  GL+ Hengerfeste/Kamera/DAB/Panorama/Cruise/NY EU,https://www.finn.no/car/used/ad.html?finnkode=339411148,2014
"Garnesveien 16, 5260 Indre Arna",58500,2021-05-14,El + Bensin,307800,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 130hk GL 48V Hybrid,https://www.finn.no/car/used/ad.html?finnkode=339439826,2021
"Martin Moesgt 10, 7503 Stjørdal",134600,2018-07-24,Bensin,219900,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4 GLX SkyTech automat Defa/Krok innbytte,https://www.finn.no/car/used/ad.html?finnkode=339464235,2018
"Skibåsen 5, 4636 Kristiansand S",60361,2022-04-27,Bensin,345000,Suzuki S-Cross,Suzuki SX4 S-Cross 4x4 GLX 129 HK Hybrid Automat - inkl. SafeTech pakke,https://www.finn.no/car/used/ad.html?finnkode=339414538,2022
"Brevikveien 1, 1711 Sarpsborg",52697,2021-09-22,Bensin,309000,Suzuki S-Cross,"Suzuki SX4 S-Cross 4x4, Automat, Hybrid, 2setthjul!",https://www.finn.no/car/used/ad.html?finnkode=339685710,2021
"Moreneveien 1, 1859 Slitu",96700,2017-07-03,Bensin,239000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4T BENSIN 140HK 4X4 SKINN PANORAM KAMERA NAVI ACC DAB,https://www.finn.no/car/used/ad.html?finnkode=339469912,2017
"Ensjøveien 15B, 0655 Oslo",60000,2021-03-19,Bensin,309000,Suzuki S-Cross,Suzuki SX4 S-Cross 4x4 SafeTech Hybrid Automat,https://www.finn.no/car/used/ad.html?finnkode=339981180,2021
"Ensjøveien 15B, 0655 Oslo",52850,2021-05-10,Bensin,319000,Suzuki S-Cross,Suzuki SX4 S-Cross GLX 4x4 SafeTech Hybrid Automat,https://www.finn.no/car/used/ad.html?finnkode=339987681,2021
"Skattørvegen 52, 9018 Tromsø",50888,2022-03-04,Bensin,349000,Suzuki S-Cross,"Suzuki SX4 S-Cross Hybrid 4X4 GLX Safe Tech, ACC, Navi, 360 Kamera, LED",https://www.finn.no/car/used/ad.html?finnkode=339964952,2022
"ØVRE EIKERVEI 77, 3048 Drammen",76778,2021-03-18,Bensin,299000,Suzuki S-Cross,Suzuki SX4 S-Cross S-Cross Hybrid,https://www.finn.no/car/used/ad.html?finnkode=340232145,2021
"Industrivegen 9, 2642 Kvam",59500,2022-05-06,Bensin,329000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4 4X4 Automat HYBRID GL+,https://www.finn.no/car/used/ad.html?finnkode=340090712,2022
"Hvamsvingen 7, 2013 Skjetten",65800,2021-10-07,El + Bensin,269000,Suzuki S-Cross,"Suzuki SX4 S-Cross SUV Turbo 130hk GLX 48V Hybrid Navi,Kamera,Cruise",https://www.finn.no/car/used/ad.html?finnkode=340233887,2021
"Høydaveien 7, 1523 Moss",3200,2023-01-23,El + Bensin,459950,Suzuki S-Cross,Suzuki SX4 S-Cross Hybrid/130hk/4X4/Automat GLX/SafeTech/DEMOBIL,https://www.finn.no/car/used/ad.html?finnkode=340235354,2023
3740 Skien,62000,2021-04-12,El + Bensin,309000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 130hk GLX 48V Hybrid Automat,https://www.finn.no/car/used/ad.html?finnkode=334779063,2021
"Ensjøveien 15B, 0655 Oslo",69500,2021-03-19,Bensin,305000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 130hk GLX 48V Hybrid 4x4,https://www.finn.no/car/used/ad.html?finnkode=340241815,2021
"Ensjøveien 15B, 0655 Oslo",61300,2021-10-12,Bensin,299000,Suzuki S-Cross,Suzuki SX4 S-Cross Automat 4x4,https://www.finn.no/car/used/ad.html?finnkode=334896189,2021
"Ensjøveien 15B, 0655 Oslo",46000,2021-02-18,Bensin,314000,Suzuki S-Cross,Suzuki SX4 S-Cross Automat,https://www.finn.no/car/used/ad.html?finnkode=335320724,2021
"ØVRE EIKERVEI 77, 3048 Drammen",89437,2021-06-07,Bensin,289000,Suzuki S-Cross,Suzuki SX4 S-Cross SX4 S-Cross,https://www.finn.no/car/used/ad.html?finnkode=335463793,2021
"Org.nr 987 739 231, 7977 Høylandet",60896,2022-05-12,El + Bensin,339000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4 Hybrid GLX AUT/4x4/360`KAM/NAVI + +,https://www.finn.no/car/used/ad.html?finnkode=335758623,2022
"Org.nr 987 739 231, 8900 Brønnøysund",63172,2022-05-12,El + Bensin,339000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4 HYBRID GLX AUT/4x4/360`KAM/NAVI + +,https://www.finn.no/car/used/ad.html?finnkode=335758607,2022
"Garnesveien 16, 5260 Indre Arna",58200,2021-10-14,Bensin,304800,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 130hk GLX 48V Hybrid,https://www.finn.no/car/used/ad.html?finnkode=335496466,2021
"Steinavegen 10, 6800 Førde",60518,2022-04-19,Bensin,349000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4 Hybrid Allgrip Safe Tech Automat,https://www.finn.no/car/used/ad.html?finnkode=335589242,2022
"Trommedalsveien 239, 3735 Skien",52000,2021-04-12,El + Bensin,309000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 130hk GLX 48V Hybrid Automat,https://www.finn.no/car/used/ad.html?finnkode=335846922,2021
"Råbekksvingen 1, 1617 Fredrikstad",67000,2021-10-05,Bensin,295000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 130hk GLX 48V Hybrid. Nybil gar/H Feste !.,https://www.finn.no/car/used/ad.html?finnkode=335850382,2021
"ØVRE EIKERVEI 77, 3048 Drammen",66990,2021-10-22,Bensin,305000,Suzuki S-Cross,Suzuki SX4 S-Cross SX4 S-Cross,https://www.finn.no/car/used/ad.html?finnkode=336452995,2021
"Gjekstadveien 2, 3218 Sandefjord",68100,2021-04-20,El + Bensin,289900,Suzuki S-Cross,"Suzuki SX4 S-Cross 143 hk Aut Safetech pakke, MEGET hel og pen bil!",https://www.finn.no/car/used/ad.html?finnkode=336300477,2021
"Vestre Rosten 71, 7072 Heimdal",53500,2021-04-30,Bensin,309000,Suzuki S-Cross,Suzuki SX4 S-Cross Navi Adaptiv cruise Bakkestart Ledlys++,https://www.finn.no/car/used/ad.html?finnkode=336299665,2021
"ØVRE EIKERVEI 77, 3048 Drammen",81337,2021-06-07,Bensin,299000,Suzuki S-Cross,Suzuki SX4 S-Cross SX4 S-Cross,https://www.finn.no/car/used/ad.html?finnkode=336453367,2021
"Ranenget 1, 8626 Mo i Rana",67105,2022-01-26,El + Bensin,349900,Suzuki S-Cross,Suzuki SX4 S-Cross GLX 48V Hybrid 4X4 Safe Tech/Navi/360Kamera/DAB,https://www.finn.no/car/used/ad.html?finnkode=332421921,2022
"Glitre, 3550 Gol",111500,2017-06-12,Bensin,219000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 140hk GL+ SkyTech aut Krok.En eier,https://www.finn.no/car/used/ad.html?finnkode=332440698,2017
"Skibåsen 5, 4636 Kristiansand S",23000,2022-01-26,Bensin,419000,Suzuki S-Cross,Suzuki SX4 S-Cross 4x4 GLX 129 HK Hybrid Automat - inkl. SafeTech pakke,https://www.finn.no/car/used/ad.html?finnkode=332539998,2022
"Org.nr 987 739 231, 7900 Rørvik",66862,2022-05-12,El + Bensin,339000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4 HYBRID GLX AUT/4x4/360`KAM/NAVI + +,https://www.finn.no/car/used/ad.html?finnkode=332652330,2022
"Storåkeren 7, 9411 Harstad",50000,2019-02-08,Bensin,279000,Suzuki S-Cross,"Suzuki SX4 S-Cross 1,4-140 4WD aut Skytech, krok, skinn, panorama",https://www.finn.no/car/used/ad.html?finnkode=332444189,2019
"Porsmyrveien 3, 4314 Sandnes",51400,2021-10-22,Bensin,309000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 130hk GLX 48V Hybrid,https://www.finn.no/car/used/ad.html?finnkode=332683048,2021
"Råbekksvingen 1, 1617 Fredrikstad",46000,2020-10-27,Bensin,284900,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 140hk GLX SkyTech aut. Nybil gar/H Fest.,https://www.finn.no/car/used/ad.html?finnkode=332786993,2020
"Kystveien 244, 4841 Arendal",75175,2022-05-05,Bensin,345000,Suzuki S-Cross,Suzuki SX4 S-Cross GLX Hybrid,https://www.finn.no/car/used/ad.html?finnkode=332804779,2022
