distance,first_registration,fuel,price,search,title,url,year
9900,2019-02-27,Elektrisitet,289000,kia e-niro,Kia E-Niro KUN 9900 km - WLTP 455 KM - UNIK KM STAND - EXCLUSIVE,https://www.finn.no/car/used/ad.html?finnkode=339211480,2019
30650,2018-11-23,Elektrisitet,279900,kia e-niro,Kia E-Niro 64KW EXCLUSIVE 454KM SKINN ACC DAB KAMERA VPUMPE NAV,https://www.finn.no/car/used/ad.html?finnkode=339338713,2019
23027,2022-11-24,Elektrisitet,399000,kia e-niro,Kia Niro NIRO 150KW,https://www.finn.no/car/used/ad.html?finnkode=338902218,2023
49000,2021-04-20,Elektrisitet,336129,kia e-niro,"Kia E-Niro E-NIRO 204hp, Exclusive",https://www.finn.no/car/used/ad.html?finnkode=337725449,2021
135500,2021-02-18,Elektrisitet,249000,kia e-niro,Kia E-Niro Exclusive 455km Velholdt Skinn JBL V.Ratt Kamera ACC++,https://www.finn.no/car/used/ad.html?finnkode=339069562,2021
159000,2020-10-30,El + Bensin,169305,kia e-niro,"Kia Niro 1,6 Hybrid 148HK Exclusive (Alt utstyr)",https://www.finn.no/car/used/ad.html?finnkode=339406582,2020
113780,2019-02-28,Elektrisitet,214305,kia e-niro,Kia E-Niro First Edition,https://www.finn.no/car/used/ad.html?finnkode=339329239,2019
77500,2020-10-22,Elektrisitet,279000,kia e-niro,Kia E-Niro Exclusive / NORSK / ACC / DAB / JBL / APP / NAVI,https://www.finn.no/car/used/ad.html?finnkode=339531840,2020
34000,2020-06-23,Elektrisitet,279999,kia e-niro,"Kia E-Niro Exclusive, Skinn, Navi, ACC, Tektyl, Reg2020",https://www.finn.no/car/used/ad.html?finnkode=332757780,2019
1150,2023-06-30,Elektrisitet,449000,kia e-niro,Kia Niro EV Exclusive 460km WLTP/ACC/HUD/Harman&Kardon,https://www.finn.no/car/used/ad.html?finnkode=332415608,2023
24600,2021-03-17,El + Bensin,289000,kia e-niro,"Kia Niro 1,6 Hybrid_Exclusive Skinn/Soltak/LED/Smart-Key",https://www.finn.no/car/used/ad.html?finnkode=332415958,2020
9500,2023-04-25,Elektrisitet,419900,kia e-niro,"Kia Niro EV 64,8 kWh Active Pluss NORSK BIL/KEYLESS/EL.SETER++",https://www.finn.no/car/used/ad.html?finnkode=332705794,2023
59000,2020-06-17,El + Bensin,279000,kia e-niro,"Kia Niro 1,6 Hybrid_Exclusive Skinn/Soltak/LED/Smart-Key",https://www.finn.no/car/used/ad.html?finnkode=332415887,2020
55000,2019-07-12,Elektrisitet,289999,kia e-niro,"Kia E-Niro 64 kWh Executive,Skinn,Soltak,Kamera,NAVI,DAB,Velholdt",https://www.finn.no/car/used/ad.html?finnkode=332757488,2019
