area,distance,first_registration,fuel,price,search,title,url,year
5518 Haugesund,104225,2010-07-07,Diesel,79900,Skoda Octavia,"Skoda Octavia 1,6TDI/105HK/Manuell/Krok/LavKM/DAB+/SportSete/02.2026",https://www.finn.no/car/used/ad.html?finnkode=343409362,2011
"Strandvegen 10 B, 2380 Brumunddal",96700,2017-12-04,Bensin,197700,Skoda Octavia,Skoda Octavia 1.4 TSI STYLE AUT 150 HK/R.KAMERA/CANTON/12MND GARANTI+,https://www.finn.no/car/used/ad.html?finnkode=343442485,2018
"Doneheia 169, 4516 Mandal",177836,2019-10-11,Diesel,239000,Skoda Octavia,Skoda Octavia OCTAVIA 2.0-184D 4X4/Krok/Automat/L&K Campaign,https://www.finn.no/car/used/ad.html?finnkode=343486189,2020
7071 Trondheim,93000,2017-02-15,Bensin,223305,Skoda Octavia,Skoda Octavia OCTAVIA 1.8-179 4X4,https://www.finn.no/car/used/ad.html?finnkode=343523323,2017
"Vangliveien 16, 2322 Ridabu",173400,2013-10-30,Bensin,169900,Skoda Octavia,Skoda Octavia RS RS2.0TSI/220 hk/Skinn/Xenon/12mnd Garanti,https://www.finn.no/car/used/ad.html?finnkode=343516830,2014
9512 Alta,175945,2015-11-24,Diesel,155305,Skoda Octavia,Skoda Octavia OCTAVIA 2.0-150 D,https://www.finn.no/car/used/ad.html?finnkode=343571737,2016
3514 Hønefoss,231270,2014-11-18,Diesel,26845,Skoda Octavia,Skoda Octavia OCTAVIA 1.9-105 D,https://www.finn.no/car/used/ad.html?finnkode=343611762,2009
2321 Hamar,182000,2011-03-08,Diesel,56777,Skoda Octavia,Skoda Octavia OCTAVIA 1.6-105 D,https://www.finn.no/car/used/ad.html?finnkode=315904765,2011
2390 Moelv,339700,2010-02-12,Diesel,28845,Skoda Octavia,Skoda Octavia OCTAVIA 1.6-105 D 4X4,https://www.finn.no/car/used/ad.html?finnkode=339291926,2010
"Nardovegen 23, 7032 Trondheim",58150,2019-05-28,Diesel,299000,Skoda Octavia,"Skoda Octavia 2,0 TDI 150HK 4X4 Automat / Webasto / Navi / ACC / DAB+",https://www.finn.no/car/used/ad.html?finnkode=343604031,2019
"Nardovegen 23, 7032 Trondheim",103595,2019-08-09,Diesel,319000,Skoda Octavia,"Skoda Octavia Scout 2,0 TDI 150HK 4X4 Aut / Webasto / Krok / ACC / Keyless",https://www.finn.no/car/used/ad.html?finnkode=343604184,2019
"Nye tegleverksvn, 4630 Kristiansand S",297000,2007-04-24,Diesel,21345,Skoda Octavia,Skoda Octavia OCTAVIA 1.9-105 D 4X4,https://www.finn.no/car/used/ad.html?finnkode=343672199,2007
