area,distance,first_registration,fuel,price,search,title,url,year
3170 Sem,70000,2020-03-03,El + Bensin,350000,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER PHEV 2.4-135 4WD,https://www.finn.no/car/used/ad.html?finnkode=340576809,2020
"Verksvegen 8, 7725 Steinkjer",166440,2017-11-14,El + Bensin,149000,Mitsubishi Outlander,Mitsubishi Outlander PHEV 4WD Aut Skinn/Navi/El luke/H.feste/Garanti,https://www.finn.no/car/used/ad.html?finnkode=340396449,2014
2013 Skjetten,65000,2020-04-29,El + Bensin,289305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER PHEV 2.4-230 4WD Plug-in Hybrid 5-seter,https://www.finn.no/car/used/ad.html?finnkode=337724754,2019
1785 Halden,186700,2016-04-14,El + Bensin,165990,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER PHEV 2.0-202 4WD Instyle +,https://www.finn.no/car/used/ad.html?finnkode=340729253,2016
"Prestegardsmarka 3, 4347 Lye",80000,2018-11-13,El + Bensin,275000,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER PHEV 4WD KROK NAVI CRUISE,https://www.finn.no/car/used/ad.html?finnkode=340789386,2019
3577 Hovet,182846,2015-07-13,El + Bensin,134147,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.0-121 4WD,https://www.finn.no/car/used/ad.html?finnkode=329309300,2015
3175 Ramnes,137610,2021-06-07,El + Bensin,243305,Mitsubishi Outlander,"Mitsubishi Outlander OUTLANDER (III) PHEV 4WD, 2.0 Hybrid",https://www.finn.no/car/used/ad.html?finnkode=340671076,2018
0690 Oslo,131000,2017-09-13,El + Bensin,229305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.0-121 4WD (PHEV S EDITION),https://www.finn.no/car/used/ad.html?finnkode=340703398,2017
"Strandgata 25, 4307 Sandnes",45000,2019-03-28,El + Bensin,319000,Mitsubishi Outlander,Mitsubishi Outlander 2.4 224hk Intense+ Soltak Alcantara Kamera Hengerfeste,https://www.finn.no/car/used/ad.html?finnkode=340878798,2019
"Stutterø Industriområde, 7500 Stjørdal",130500,2017-07-31,El + Bensin,234900,Mitsubishi Outlander,Mitsubishi Outlander PHEV INSTYLE+| Krok|LEDBAR|SERVICE,https://www.finn.no/car/used/ad.html?finnkode=340889663,2017
"Sundlandveien 7, 3048 Drammen",108000,2014-04-10,Bensin,199900,Mitsubishi Outlander,Mitsubishi Outlander 150 hk 4WD 7-seter m/Skinn/Automat/Navi/Hengerfeste++,https://www.finn.no/car/used/ad.html?finnkode=340884538,2014
"Industriveien 9b, 6517 Kristiansund N",118000,2020-04-25,El + Bensin,289000,Mitsubishi Outlander,Mitsubishi Outlander PHEV S-Edition 2.4-135 4WD,https://www.finn.no/car/used/ad.html?finnkode=340978175,2019
"Moafjæra 5 c, 7606 Levanger",151000,2012-02-27,Diesel,179900,Mitsubishi Outlander,Mitsubishi Outlander 2.2 DI-D INSTYLE+ 4WD AUTO 7 SETER,https://www.finn.no/car/used/ad.html?finnkode=340969348,2012
"Bedriftsveien 10, 0950 Oslo",60150,2018-12-19,El + Bensin,299000,Mitsubishi Outlander,"Mitsubishi Outlander PHEV 2,0HK CVT 4WD PIH | SKINN | INSYL+| ACC | 360K |",https://www.finn.no/car/used/ad.html?finnkode=340895146,2019
3173 Vear,246000,2011-02-17,Diesel,61845,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.3-140 D 4WD,https://www.finn.no/car/used/ad.html?finnkode=340977839,2011
"Nessvegen 57, 7550 Hommelvik",247000,2010-12-01,Diesel,79000,Mitsubishi Outlander,Mitsubishi Outlander 2.2 Di-D 4wd Hengerfeste Ny EU Ny Service,https://www.finn.no/car/used/ad.html?finnkode=340989049,2011
2240 Magnor,168000,2016-03-15,Diesel,199305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.3-150 D 4WD,https://www.finn.no/car/used/ad.html?finnkode=341008978,2016
"Ervikveien 67, 5106 Øvre Ervik",106000,2009-12-28,Bensin,119000,Mitsubishi Outlander,"Mitsubishi Outlander 2,0 146HK Automat/Delskinn/Cruise/Defa/NY EU 31.05.2025",https://www.finn.no/car/used/ad.html?finnkode=340992304,2010
"Vallastølsvegen 4, 5227 Nesttun",147800,2016-09-23,El + Bensin,199500,Mitsubishi Outlander,Mitsubishi Outlander PHEv Instyle+/4WD/Skinn/Navi/Kamera/ACC/1 Års GARANTI,https://www.finn.no/car/used/ad.html?finnkode=340991040,2016
"Vestheimvegen 49, 4250 Kopervik",169985,2016-06-10,El + Bensin,209900,Mitsubishi Outlander,Mitsubishi Outlander Exclusive/4WD/Instyle+/Navi/Skinn/LED/KROK/R.KAM/NY EU,https://www.finn.no/car/used/ad.html?finnkode=341012850,2016
4110 Forsand,78000,2018-08-29,El + Bensin,324305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER PHEV 2.4-135 4WD,https://www.finn.no/car/used/ad.html?finnkode=341015229,2019
4042 Hafrsfjord,157610,2016-04-13,El + Bensin,169305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.0-121 4WD,https://www.finn.no/car/used/ad.html?finnkode=340542601,2015
7079 Flatåsen,125000,2017-08-16,El + Bensin,229305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.0-121 4WD,https://www.finn.no/car/used/ad.html?finnkode=341057867,2017
"Kvaenveien 3, 1529 Moss",165500,2016-05-11,Diesel,169900,Mitsubishi Outlander,Mitsubishi Outlander 2.2D 150Hk 4WD Intense+ Kamera/Krok/Navigasjon - OUTLET,https://www.finn.no/car/used/ad.html?finnkode=341101989,2016
"Hadelandsveien 1, 2816 Gjøvik",107000,2017-03-29,El + Bensin,269900,Mitsubishi Outlander,Mitsubishi Outlander Outlander,https://www.finn.no/car/used/ad.html?finnkode=341121523,2017
"Lønningsflaten 32A, 5258 Blomsterdalen",113000,2012-11-06,Diesel,179000,Mitsubishi Outlander,Mitsubishi Outlander DI-D 2.2 150HK AWD 7Seter/Skinn/Cruise/H.Feste ++,https://www.finn.no/car/used/ad.html?finnkode=341127791,2013
"Hadelandsveien 1, 2816 Gjøvik",86700,2019-02-19,El + Bensin,328900,Mitsubishi Outlander,Mitsubishi Outlander Outlander,https://www.finn.no/car/used/ad.html?finnkode=341122227,2019
"Storåkeren 7, 9411 Harstad",49800,2016-10-10,El + Bensin,279000,Mitsubishi Outlander,"Mitsubishi Outlander PHEV Instyle+ krok, LAV KM, skinn, navi, Norsk Bil",https://www.finn.no/car/used/ad.html?finnkode=341122990,2016
4050 Sola,167000,2011-09-07,Bensin,129999,Mitsubishi Outlander,"Mitsubishi Outlander 2,0 146HK Automat/Delskinn/NY EU/NY SERVICE",https://www.finn.no/car/used/ad.html?finnkode=341286025,2011
"Dikeveien 16, 1661 Rolvsøy",150000,2011-01-04,Diesel,129900,Mitsubishi Outlander,"Mitsubishi Outlander 2,2 Diesel, 4X4, Automat, Service, Eu-godkjent",https://www.finn.no/car/used/ad.html?finnkode=341341996,2011
"Sandmoflata 2, 7093 Tiller",42588,2018-02-16,El + Bensin,309000,Mitsubishi Outlander,Mitsubishi Outlander P-HEV INSTYLE+,https://www.finn.no/car/used/ad.html?finnkode=341353305,2018
1063 Oslo,191000,2015-12-21,El + Bensin,149305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.0-121 4WD,https://www.finn.no/car/used/ad.html?finnkode=341351461,2016
"Bjertnesvegen 8, 2166 Oppaker",110800,2015-12-22,El + Bensin,219800,Mitsubishi Outlander,Mitsubishi Outlander PHEV / 4x4 / Automat / Skinnseter,https://www.finn.no/car/used/ad.html?finnkode=341373013,2016
"Hagebyvegen 40, 3734 Skien",172000,2011-03-23,Diesel,89000,Mitsubishi Outlander,Mitsubishi Outlander 2.3DID 140HK 4wd / Navi / Delskinn / Rygge.K / Krok++,https://www.finn.no/car/used/ad.html?finnkode=341384888,2011
"Haakon VIIs gate 13, 7041 Trondheim",59801,2013-06-12,Diesel,259900,Mitsubishi Outlander,"Mitsubishi Outlander 2,3D 150HK-4X4-AUTOMAT-7 SETER TOPPMODELL-KROK-ACC-NAVI",https://www.finn.no/car/used/ad.html?finnkode=341428945,2013
"Grasdalen 24, 4636 Kristiansand S",74600,2017-12-22,El + Bensin,299000,Mitsubishi Outlander,"Mitsubishi Outlander S Edition 2,0 202hk ACC/Skinn/360kam/Soltak/DAB/Keyless",https://www.finn.no/car/used/ad.html?finnkode=341462441,2018
"Bølevegen 32, 3724 Skien",183597,2015-03-24,Diesel,148900,Mitsubishi Outlander,Mitsubishi Outlander 2.3DiD/150HK/4WD/Navi/Kamera/DAB/Krok/Dieselvarmer!,https://www.finn.no/car/used/ad.html?finnkode=341437583,2015
"Industriveien 11, 9325 Bardufoss",56157,2020-09-28,El + Bensin,369000,Mitsubishi Outlander,"Mitsubishi Outlander Instyle 2,4 224hk MYE UTSTYR I INNBYTTE",https://www.finn.no/car/used/ad.html?finnkode=341462862,2020
5357 Fjell,123000,2017-10-13,El + Bensin,239000,Mitsubishi Outlander,Mitsubishi Outlander INSTYLE+ KROK SKINN,https://www.finn.no/car/used/ad.html?finnkode=341549563,2018
"Sundlandveien 7, 3048 Drammen",94000,2016-08-01,Bensin,249900,Mitsubishi Outlander,Mitsubishi Outlander 150 hk 7-seter m/Skinn/Automat/Navi/Xenon/Lav km/Ny EU,https://www.finn.no/car/used/ad.html?finnkode=341488169,2016
1290 Oslo,78000,2020-05-12,El + Bensin,284147,Mitsubishi Outlander,Mitsubishi Outlander,https://www.finn.no/car/used/ad.html?finnkode=307928160,2019
,141600,2014-09-29,El + Bensin,149000,Mitsubishi Outlander,Mitsubishi Outlander PHEV Intense Skinn Navi DAB Krok Lang EU++,https://www.finn.no/car/used/ad.html?finnkode=341653269,2014
4015 Stavanger,182000,2014-12-30,El + Bensin,141999,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER PHEV INSTYLE+ / 164hk / 4WD,https://www.finn.no/car/used/ad.html?finnkode=341697266,2014
5161 Laksevåg,131000,2015-03-25,Diesel,209147,Mitsubishi Outlander,Mitsubishi Outlander Instyle+ 2.2-150 DI-D aut,https://www.finn.no/car/used/ad.html?finnkode=331742703,2015
"Rødmyrlia 24, 3735 Skien",148000,2014-03-14,El + Bensin,160000,Mitsubishi Outlander,Mitsubishi Outlander 2.0 PHEV 284Hk/4X4/Navi/Skinn/R.Kam/H.Feste/DAB//CC+,https://www.finn.no/car/used/ad.html?finnkode=341750120,2014
5109 Hylkje,166276,2013-03-14,Diesel,119305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 4WD Instyle+ 2.2 -140,https://www.finn.no/car/used/ad.html?finnkode=341742106,2012
"Brynaskogen 27, 5705 Voss",105587,2016-05-12,El + Bensin,234305,Mitsubishi Outlander,Mitsubishi Outlander PHEV/202hk/4X4/Instyle+/Skinn/Rockford/Service/EU-02-26,https://www.finn.no/car/used/ad.html?finnkode=341758508,2016
"Mohagalia 6, 2770 Jaren",141200,2015-05-04,El + Bensin,168905,Mitsubishi Outlander,Mitsubishi Outlander PHEV/Instyle+/Krok/Cruise/Skinn/Navi/Ryggekamera/+++,https://www.finn.no/car/used/ad.html?finnkode=341760839,2015
4200 Sauda,120000,2015-11-20,El + Bensin,214305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.0-121 4WD,https://www.finn.no/car/used/ad.html?finnkode=341775606,2016
"Heiamyrå 2, 4031 Stavanger",128200,2016-07-20,El + Bensin,204900,Mitsubishi Outlander,Mitsubishi Outlander 2.0-189hk 4WD PHEV Instyle+/Ny EU/ACC/Skinn/Krok,https://www.finn.no/car/used/ad.html?finnkode=341798841,2016
"Sandmoflata 2, 7093 Tiller",121400,2017-01-20,El + Bensin,219000,Mitsubishi Outlander,Mitsubishi Outlander Outlander,https://www.finn.no/car/used/ad.html?finnkode=341799672,2016
"Skotfossvegen 35, 3720 Skien",173000,2020-02-27,El + Bensin,239000,Mitsubishi Outlander,Mitsubishi Outlander PHEV 2.4 PLUG-IN HYBRID EV INSTYLE+ 4WD/ Krok,https://www.finn.no/car/used/ad.html?finnkode=341824044,2020
"Teglveien 16, 1400 Ski",17330,2022-12-23,El + Bensin,469900,Mitsubishi Outlander,Mitsubishi Eclipse Cross PHEV S-AWC Instyle+  Topputsyrt!,https://www.finn.no/car/used/ad.html?finnkode=341775171,2022
